,times,sst,sst_err,ftemp,wind,atemp,swrad,humid
502,696322.8799999993,302.7768552247565,1.0,303.13005020432405,1.229834209002064,302.0780023350865,0.4751897256289897,0.01
503,696332.8799999993,302.77219964974216,1.0,303.12581786340195,1.2176479860021854,302.076061295974,0.4737302977248126,0.01
504,696342.8799999993,302.7675440747278,1.0,303.12158552247985,1.2054617630023068,302.0741202568614,0.4722708698206356,0.01
505,696352.8799999993,302.7628884997135,1.0,303.11735318155775,1.1932755400024282,302.0721792177489,0.4708114419164585,0.01
506,696362.8799999993,302.7582329246992,1.0,303.11312084063564,1.1810893170025496,302.0702381786363,0.46935201401228144,0.01
507,696372.8799999993,302.75357734968486,1.0,303.1088884997135,1.1689030940026712,302.0682971395238,0.46789258610810436,0.01
508,696382.8799999993,302.7489217746705,1.0,303.1046561587914,1.1567168710027924,302.0663561004112,0.4664331582039273,0.01
509,696392.8799999993,302.74426619965624,1.0,303.1004238178693,1.144530648002914,302.0644150612987,0.4649737302997502,0.01
510,696402.8799999993,302.7396106246419,1.0,303.0961914769472,1.1323444250030354,302.0624740221861,0.4635143023955731,0.01
511,696412.8799999993,302.73495504962756,1.0,303.0919591360251,1.1201582020031569,302.06053298307353,0.46205487449139604,0.01
512,696422.8799999993,302.7302994746132,1.0,303.0877267951029,1.1079719790032783,302.058591943961,0.46059544658721896,0.01
513,696432.8799999993,302.72564389959894,1.0,303.0834944541808,1.0957857560033997,302.0566509048484,0.4591360186830419,0.01
514,696442.8799999993,302.7209883245846,1.0,303.0792621132587,1.083599533003521,302.0547098657359,0.4576765907788648,0.01
515,696452.8799999993,302.71633274957026,1.0,303.0750297723366,1.0714133100036425,302.0527688266233,0.4562171628746877,0.01
516,696462.8799999993,302.7116771745559,1.0,303.0707974314145,1.059227087003764,302.0508277875108,0.45475773497051064,0.01
517,696472.8799999993,302.70702159954163,1.0,303.06656509049236,1.0470408640038853,302.0488867483982,0.45329830706633356,0.01
518,696482.8799999993,302.7023660245273,1.0,303.06233274957026,1.0348546410040067,302.0469457092857,0.45183887916215654,0.01
519,696492.8799999993,302.69771044951295,1.0,303.05810040864816,1.022668418004128,302.0450046701731,0.45037945125797946,0.01
520,696502.8799999993,302.69305487449867,1.0,303.05386806772606,1.0104821950042495,302.04306363106053,0.4489200233538024,0.01
521,696512.8799999993,302.68839929948433,1.0,303.04963572680396,0.998295972004371,302.041122591948,0.4474605954496253,0.01
522,696522.8799999993,302.68374372447,1.0,303.0454033858818,0.9861097490044924,302.03918155283543,0.4460011675454482,0.01
523,696532.8799999993,302.67908814945565,1.0,303.0411710449597,0.9739235260046138,302.0372405137229,0.44454173964127114,0.01
524,696542.8799999993,302.67443257444137,1.0,303.0369387040376,0.9617373030047353,302.0352994746103,0.44308231173709406,0.01
525,696552.8799999993,302.66977699942703,1.0,303.0327063631155,0.9495510800048568,302.0333584354978,0.441622883832917,0.01
526,696562.8799999993,302.6651214244127,1.0,303.0284740221934,0.9373648570049782,302.0314173963852,0.4401634559287399,0.01
527,696572.8799999993,302.66046584939835,1.0,303.02424168127123,0.9251786340050996,302.02947635727264,0.4387040280245628,0.01
528,696582.8799999993,302.65581027438407,1.0,303.02000934034913,0.912992411005221,302.0275353181601,0.4372446001203858,0.01
529,696592.8799999993,302.6511546993697,1.0,303.01577699942703,0.9008061880053424,302.02559427904754,0.4357851722162087,0.01
530,696602.8799999993,302.6464991243554,1.0,303.01154465850493,0.8886199650054638,302.023653239935,0.43432574431203164,0.01
