times,sst,sst_err,ftemp,wind,atemp,swrad,humid,boatspd
1112906.6400000092,297.841,0.17963013698630137,296.86499999999995,5.265,299.303,0.4,0.01,13.3
1113615.6960000363,294.739,0.3265479452054794,294.97299999999996,5.233,297.854,0.5,0.01,12.8
1114307.2319999617,295.307,0.24486301369863017,294.73499999999996,5.487,297.963,0.2,0.01,12.9
1115725.3199999977,296.925,0.14367123287671232,296.75,6.082,297.851,0.0,0.01,13.0
1117125.8880000208,297.613,0.12747945205479452,296.90999999999997,4.129,297.956,0.5,0.01,13.6
1117826.1840000388,299.577,0.15994520547945207,299.709,4.684,298.856,0.4,0.01,13.2
1118526.4799999732,299.389,0.20256164383561645,298.81899999999996,4.228,299.27,0.4,0.01,13.3
1119226.5599999917,299.503,0.1682876712328767,298.41299999999995,4.642,299.321,0.6,0.01,12.7
1119935.0399999907,299.239,0.066,297.522,5.1,299.192,0.8,0.01,0.0
1120634.6399999694,299.456,0.20267123287671232,299.688,5.36,299.461,1.0,0.01,12.3
1121343.1199999733,299.515,0.07824657534246575,299.05899999999997,5.302,299.187,1.3,0.01,12.6
1122042.8399999633,298.786,0.08876712328767124,298.827,5.738,299.145,0.7,0.01,12.4
1122742.5600000368,299.669,0.11013698630136987,299.597,4.963,299.157,0.6,0.01,12.2
1123441.9199999983,299.469,0.19304109589041096,299.661,4.603,299.325,0.6,0.01,12.5
1124149.6800000286,299.668,0.1216027397260274,299.407,5.65,299.658,1.0,0.01,12.3
1124857.4399999704,299.303,0.15786301369863012,299.42199999999997,5.707,299.64,0.9,0.01,12.2
1125543.600000001,299.176,0.20120547945205478,298.907,5.138,300.106,2.1,0.01,12.6
1126228.0799999787,299.44,0.16705479452054794,299.705,4.685,300.427,1.2,0.01,12.5
1127597.0160000096,298.983,0.16964383561643837,299.35999999999996,4.526,299.891,0.5,0.01,11.2
1128290.0400000017,298.15,0.09857534246575343,298.46099999999996,3.984,299.712,1.2,0.01,11.1
1128983.0639999888,299.392,0.24739726027397263,299.35299999999995,3.558,299.777,0.5,0.01,11.2
1129667.520000037,299.601,0.15550684931506847,299.834,3.688,299.405,-0.4,0.01,11.2
1130352.0000000198,298.733,0.15197260273972601,298.96099999999996,2.812,299.35,0.2,0.01,11.2
1131044.8799999827,299.382,0.11084931506849315,299.635,3.506,299.345,0.0,0.01,9.2
1131739.3199999828,299.112,0.08938356164383562,299.34299999999996,1.406,299.383,-0.1,0.01,7.9
1132433.7599999828,298.673,0.07942465753424657,297.64599999999996,1.984,299.397,0.8,0.01,7.7
1133120.1600000309,298.612,0.1084931506849315,296.671,2.576,299.287,1.0,0.01,7.4
1133806.5599999907,295.657,0.11252054794520547,295.81899999999996,2.092,298.513,-0.4,0.01,7.6
1134492.9600000388,296.039,0.1557945205479452,296.417,2.41,298.83,1.1,0.01,7.7
1135179.1199999813,296.603,0.1595616438356164,296.97799999999995,2.921,299.546,1.4,0.01,7.8
1135873.6799999925,296.856,0.12945205479452057,297.137,2.74,299.686,0.6,0.01,7.9
1136562.0000000177,297.062,0.08136986301369863,297.09799999999996,3.909,300.171,0.7,0.01,7.4
1137250.3199999596,297.109,0.1687671232876712,297.097,3.017,299.368,-0.1,0.01,7.8
1140701.6159999995,296.85,0.10805479452054796,296.554,4.575,299.619,-1.5,0.01,8.6
1142775.8399999798,296.396,0.06961643835616438,295.777,2.704,298.164,-1.6,0.01,8.5
1143464.6399999615,296.304,0.1192054794520548,295.40999999999997,2.674,298.593,-1.8,0.01,8.3
1144154.8079999983,295.549,0.15172602739726027,296.017,1.935,298.606,-0.1,0.01,1.0
1144853.5920000202,296.046,0.1541095890410959,296.33799999999997,1.443,298.728,6.8,0.01,0.4
1145543.7599999688,295.875,0.055849315068493145,296.38199999999995,1.591,298.316,17.2,0.01,0.5
1146234.959999972,295.789,0.142,296.131,1.5,299.304,47.4,0.01,0.0
1146926.1599999706,296.025,0.13506849315068495,296.16299999999995,0.881,298.827,76.8,0.01,2.4
1147616.8800000176,296.1,0.07863013698630138,296.144,2.852,298.699,123.8,0.01,1.8
1148316.7200000188,296.155,0.084,296.248,3.4,298.787,162.9,0.01,0.0
1149007.775999988,296.051,0.06,296.253,1.6,298.905,203.6,0.01,0.0
1149707.47199996,296.016,0.17193150684931507,296.12,0.822,298.237,246.6,0.01,1.7
1151089.5839999919,296.101,0.1536712328767123,296.101,0.639,298.225,336.1,0.01,1.2
1151789.279999964,295.958,0.09956164383561643,296.133,4.06,297.684,378.6,0.01,1.2
1152479.7599999886,295.892,0.05906849315068493,296.24899999999997,3.181,297.15,412.7,0.01,0.8
1153170.3119999887,295.844,0.10202739726027397,296.087,3.432,297.736,447.6,0.01,0.6
1153860.8880000117,296.051,0.07964383561643835,295.989,2.866,297.743,481.4,0.01,0.7
1154551.4400000116,296.05,0.07142465753424657,295.947,1.179,297.813,512.6,0.01,1.2
1155941.2080000276,296.019,0.04034246575342466,296.08,3.152,297.582,561.9,0.01,0.9
1156640.4000000302,296.032,0.07097260273972604,296.313,1.958,297.241,604.6,0.01,1.1
1157331.4800000174,296.141,0.08712328767123287,296.2,2.095,297.501,646.5,0.01,1.3
1158022.5600000096,296.792,0.07176712328767124,296.06899999999996,1.486,297.075,691.2,0.01,2.3
1158724.5600000103,297.169,0.10072602739726026,296.168,1.535,297.202,715.9,0.01,2.5
1159416.4799999823,297.274,0.114,296.25,1.3,297.747,741.1,0.01,0.0
1160116.079999961,298.095,0.08387671232876713,296.36499999999995,1.242,297.79,738.1,0.01,1.1
1160807.0400000305,297.613,0.055136986301369866,296.397,2.41,297.503,758.0,0.01,1.5
1161506.6400000092,297.687,0.05376712328767124,296.34299999999996,2.51,297.535,773.6,0.01,1.1
1162197.3599999729,297.897,0.04761643835616437,296.361,1.139,298.006,786.6,0.01,1.2
1162896.7200000177,298.22,0.10890410958904109,296.41999999999996,1.843,297.992,793.3,0.01,1.3
1163596.3200000015,298.16,0.06236986301369864,296.45399999999995,1.715,298.044,809.1,0.01,1.1
1164278.880000002,298.366,0.1453150684931507,296.443,1.708,298.534,822.4,0.01,1.0
